id,username,posts,followers,following,caption,caption_length,taken_at,video_duration,hashtag_count,mention_count,like_count,comment_count,view_count,summary,summary_title,summary_topic,summary_length,avg_brightness,std_brightness,avg_db,std_db,avg_frequency,std_frequency
437,ibnujamilo,8259.0,1981326.0,2593.0,"Long Run semalam 18K sebelom berangkat ke Mandiri Jogja Marathon 

#jamilosjourney",82,2025-06-21T05:28:37,54.658,1,0,3671,39,92867.0,"Video ini menceritakan pencapaian seseorang dalam melakukan lari jarak jauh sejauh 18 kilometer. Dalam perjalanan, ia mengalami hujan dan merasa puas dengan hasil yang dicapai. Ia juga mengucapkan terima kasih kepada beberapa orang yang mendukungnya, seperti Dovin dan Yoshuaero, serta merayakan keberhasilannya dengan semangat.",Pencapaian Lari Jarak Jauh 18 Kilometer di Tengah Hujan,Olahraga,328,86.45619709,13.33883301,-14.070346,5.4604216,2642.764074,566.5827977
515,motomobitv,7079.0,1203273.0,1215.0,"Biasanya kami mengenal Polytron itu pasti tentang alat elektronik, tapi sekarang polytron juga ngeluarin mobil listrik, seru sekali! Jadi makin tidak sabar untuk mencoba mobil ini di jalan raya, tunggu videonya tayang ya! 

#PolytronEV #PolytronG3Series",253,2025-05-06T05:45:41,71.7,2,0,5101,96,118027.0,"Video ini memperkenalkan dua varian mobil listrik Polytron, yaitu G3 dan G3 Plus. Keduanya menawarkan fitur modern seperti intelligent dashboard dengan layar tengah 12,8 inch, jok premium synthetic leather, dan panoramic sunroof. G3 Plus memiliki velg 20 inch dan terintegrasi dengan aplikasi smartphone. Mobil ini didukung baterai 52 kWh dengan range lebih dari 400 km dan tersedia untuk pre-order di BliBli dengan harga mulai dari 299 juta.",First Look: Mobil Listrik Polytron G3 dan G3 Plus,Otomotif,442,96.84347238,29.07057762,-17.772352,8.204868,1223.913284,555.2436107
843,luthfirambe,359.0,166638.0,1426.0,"Kalian kalo jogging biasanya di mana?

#jogging #luthfirambe",60,2025-05-12T09:30:47,42.648,2,0,1269,66,35343.0,Video ini memberikan tips untuk berjalan kaki atau jogging di jalan yang sempit. Disarankan untuk berjalan di sebelah kanan jalan menghadap kendaraan bermotor yang datang untuk memantau kendaraan dari depan. Ini lebih aman daripada berjalan di sebelah kiri yang memerlukan pandangan ke belakang secara terus-menerus yang kurang nyaman.,Tips Aman Berjalan Kaki atau Jogging di Jalan Sempit,Kesehatan,335,111.2133575,13.62120028,-11.39009,10.866709,1708.563241,987.1642278
135,ka.hairunisa,85.0,6202.0,61.0,Siapa yg ngebuang eem 😔,23,2025-07-07T13:00:00,46.533,0,0,135,7,3142.0,"Video ini membahas tentang pengalaman pengguna dengan cleansing oil Anua. Pengguna memberikan testimonial positif tentang produk ini, termasuk formula yang disukai, harga yang terjangkau, dan kemasan yang praktis dengan kunci pengaman. Selain itu, dikomentari juga desprestasi produk yang ringan dan aroma yang menyerupai bedak bayi.",Review Cleasing Oil Anua Pembersih Wajah Favorit,Kecantikan,333,126.3624434,11.11351547,-12.319868,6.097238,1516.103211,915.4759813
47,cryptowaveid,2214.0,529121.0,61.0,Gabriel Rey mau menjadikan Indonesia sebagai pusat Bitcoin di Asia Tenggara.,76,2025-07-21T04:20:49,83.683,0,0,10529,107,296349.0,Pembicara membahas tentang pergeseran dari mengejar uang ke pencarian makna dan legacy dalam hidup. Ia berbagi visinya untuk membuat dampak positif melalui edukasi dan mengenang industri cryptocurrency. Ia juga mengungkapkan tujuan untuk menjadikan Indonesia sebagai pusat crypto di Asia Tenggara dengan mendirikan platform edukasi gratis bernama Crypto Wave bersama Goldwin.,Edukasi Cryptocurrency dan Masa Depan Indonesia sebagai Pusat Crypto di Asia Tenggara,Other,375,45.69804338,8.703318593,-12.102934,5.853819,1356.005882,585.3874318
479,moladin_id,2657.0,94637.0,12.0,"Hyundai Stargazer Cartenz tampil dengan wajah baru, dari tampak depan sudah menunjukan identitas hyundai yang mulai menyamakan garis desain pada setiap produknya.

Dari sisi pengemudi juga menjadi perhatian. Pandangan ke depan lebih lapang karena dashboard dibuat lebih rendah, bahkan disematkan dashboard baru yang modern.
Hal yang jadi perhatian utama adalah mobil ini di desain khusus untuk karakter jalanan di Indonesia.

📹 @modalvinggang 

#Moladin #reviewmobil #hyundai",475,2025-08-02T03:54:24,61.566,3,1,164,3,7142.0,"Hyundai Stargezer Cartons hadir dengan desain baru yang mencolok, baik di bagian depan maupun belakang, dengan tema kotak yang konsisten. Perubahan ini memberikan tampilan yang lebih modern dan aerodinamis. Selain itu, kenyamanan berkendara juga ditingkatkan dengan dashboard yang lebih rendah, memberikan pandangan yang lebih luas bagi pengemudi. Suspensi yang telah diperbaiki memastikan perjalanan lebih nyaman, terutama di jalanan yang rusak atau berkerikil.",Desain dan Fitur Baru Hyundai Stargezer Cartons,Otomotif,462,106.0438657,22.65007764,-18.104738,7.7491145,1491.932075,650.8690084
183,fornasviiintb,345.0,10477.0,120.0,"Kalah menang, semua senang.

Sebuah pengingat hangat dari Bapak @agusyudhoyono 
menjelang FORNAS VIII di Nusa Tenggara Barat, 26 Juli - 1 Agustus 2025.

FORNAS bukan hanya tentang kompetisi, tapi tentang merayakan persaudaraan, kesehatan, dan kegembiraan melalui olahraga.

Mari kita sukseskan bersama dengan semangat sportivitas!

#FORNASVIIINTB
#KalahMenangSemuaSenang
#FORNAS2025
#NTBMakmurMendunia
#KORMI
#Indonesiaaktif",424,2025-07-25T11:34:06,64.162,6,1,3366,116,120843.0,"Dalam video ini, Menteri Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan, Agus Harimurti Doyono, memberikan ucapan selamat atas penyelenggaraan Festival Olahraga Masyarakat Nasional (Fornas) ke-8 yang berlangsung di Provinsi Nusa Tenggara Barat pada tanggal 26 Juli hingga 1 Agustus 2025. Beliau menekankan pentingnya mengolahragakan masyarakat dan memasyarakatkan olahraga untuk meningkatkan kesehatan dan kebugaran masyarakat. Dalam penutupannya, beliau mengucapkan terima kasih yang tulus atas kesuksesan acara tersebut.",Menteri Kallas 8 Fornas VIII: Promosi Olahraga Pada Masyarakat,Olahraga,536,197.2460061,9.42780534,-14.671629,9.745869,1410.32893,773.8501204
973,koni_dki,2375.0,18443.0,465.0,"PORPROV & POPPROV DKI Jakarta 2025 Resmi Dibuka!

Gubernur DKI Jakarta, Pramono Anung, telah meresmikan ajang olahraga terbesar di Ibu Kota yang ditujukan bagi atlet pelajar dan profesional Jakarta pada hari Senin (4/8) di Gelanggang Mahasiswa Soemantri Brodjonegoro.

Selama lima hari ke depan, sebanyak 1.504 atlet akan berkompetisi dalam sepuluh cabang olahraga, mulai dari bola basket hingga pencak silat.

Acara ini tidak hanya berfokus pada kemenangan, tetapi juga berperan dalam membentuk karakter, menanamkan nilai sportivitas, dan regenerasi atlet masa depan.

#SalamOlahraga #konidkijakarta #dkijakarta #KotaGlobalBerbudaya #Jakarta500 #PORPROV2025",658,2025-08-05T09:29:33,123.333,6,0,147,2,4666.0,"Video ini menampilkan pidato pembukaan Pekan Olahraga Provinsi DKI Jakarta dan sekaligus Pekan Olahraga Pelajar DKI Jakarta. Acara ini diikuti oleh 1504 atlet dari 6 wilayah, 5 kota, dan 1 kabupaten, dengan tujuan untuk mempersiapkan diri menghadapi Pekan Olahraga Pelajar Nasional pada bulan November. Dalam pidato tersebut, diungkapkan harapan tinggi agar acara berlangsung dengan baik dan menghasilkan atlet-atlet yang siap untuk bertanding di tingkat nasional. Jakarta dipandang sebagai barometer dalam peristiwa olahraga, sehingga Dinas Olahraga dan KONI Jakarta diminta untuk mempersiapkan diri secara matang. Selain itu, disebutkan bahwa Pekan Olahraga Pelajar Nasional (BOPNAS) awalnya akan diadakan di Aceh dan Medan, namun akhirnya dipindahkan ke Jakarta karena alasan tertentu, dan Jakarta telah siap untuk menyelenggarakannya.",Pembukaan Pekan Olahraga Provinsi DKI Jakarta dan Persiapan BOPNAS 2023,Olahraga,838,98.32178308,14.23337647,-9.828736,6.421338,1531.945418,530.6777632
768,tasyafarasya,3922.0,7346478.0,1112.0,AKHIRNYAAAAA!!!!! Gausah di rahasiain lagi skrg 🥹🥹 ini alasan bibir aku bisa slalu keliatan plumpy juicy glossy!,112,2025-07-25T04:56:49,85.7,0,0,11558,99,560357.0,"Video ini memperkenalkan produk GWS Extra, sebuah lip gloss dengan sensasi pendinginan ekstra yang dapat mengubah warna menjadi natural. Produk ini menawarkan tampilan bibir yang sehat, shiny, dan penuh dengan stain peach yang membantu memperbaiki two-tone lips. Setelah aplikasi, warnanya bertahan meskipun kilapnya hilang, sehingga bibir terlihat lebih cerah dan tidak pucat.",GWS Extra: Lip Product with Extra Cooling Sensation,Kecantikan,377,124.4851146,7.713710446,-16.995995,6.314383,1998.669498,892.7384127
313,jajago.keliling.indonesia,493.0,538471.0,1284.0,"Baru tau kalo nyetir dari ujung ke ujungnya negara Singapura cuman butuh 2-3 jam.
Negara ini kecill banget, tapi mewah nya luar biasa 😦

salut sih ama Singapura 👏
kami puas banget explore 3 hari disana, semuanya cakep².

Next : Thailand ! 🇹🇭

Pantengin full episodenya di Youtube bang @ridwanhr nanti ya",303,2025-06-15T01:08:56,135.309,0,1,20296,534,1025118.0,"Pembawa acara menceritakan pengalaman melakukan perjalanan di ASEAN dengan mobil, tetapi memutuskan untuk tidak membawa mobil ke Singapura karena beberapa alasan, seperti lokasinya di ujung ASEAN, ukurannya yang kecil, kesulitan parkir, dan biaya tinggi. Mereka menggunakan transportasi umum yang efisien untuk menjelajahi Singapura dan membandingkan biaya akomodasi yang jauh lebih mahal dibandingkan dengan Malaysia. Mereka merencanakan untuk kembali ke Malaysia dan melanjutkan perjalanan ke Thailand.",Perjalanan Keliling ASEAN: Tantangan di Singapura,Other,504,97.50328637,20.91683483,-14.951899,7.165424,1754.194667,807.6654326
